DRUG,MUT_TYPE,Validated Gene Targets,Number of Validated Targets,Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,XGB Absolute Importance,Percent Targets Hit
melatonin,AMPLIFICATION,ESR1,1,"BCL6, DVL3, RFC4",3,1,7,11309301,"11224600, 11420458, 14676830, 14685876, 16467079, 16865240, 17429099",ESR1: antagonist,14-3-3 protein binding,0.018544272,100.0
folic acid,"AMPLIFICATION, SOMATIC",TYMS,1,"BCL6, RAC1",2,3,6,"11756219, 15355913, 17638652","11224600, 11420458, 14685876, 17234718, 17429099, 17592548",TYMS: UNKNOWN,UNKNOWN,0.010010363,100.0
aspirin,AMPLIFICATION,PTGS2,1,BCL6,1,1,4,18030354,"11224600, 11420458, 14685876, 17429099",PTGS2: UNKNOWN,UNKNOWN,0.009430218,100.0
heparin,"AMPLIFICATION, SOMATIC","FGF4, FGFR1, FGFR2, FGFR4, HGF",5,"CLDN1, DVL3, REG1A, RFC4",4,30,6,"11374444, 11562460, 11911252, 12075207, 12429977, 12569015, 12647789, 14596869, 14984318, 15165306, 15387324, 15580170, 15720819, 15920746, 15942670, 16012040, 16103054, 16186806, 16308260, 16807070, 17016592, 17294073, 17306605, 17487429, 17545521, 17545628, 17981731, 18059337, 18405350, 18484684","12901795, 14676830, 15170668, 16467079, 16865240, 17091452",FGF4: UNKNOWN; FGFR1: UNKNOWN; FGFR2: UNKNOWN; FGFR4: UNKNOWN; HGF: UNKNOWN,fibroblast growth factor receptor binding; ATP binding; chemoattractant activity,0.008661952,100.0
methylprednisolone,"AMPLIFICATION, SOMATIC",ANXA1,1,"BCL6, REG1A",2,3,5,"16270603, 16627980, 16899607","11224600, 11420458, 12901795, 14685876, 17429099",ANXA1: agonist,cadherin binding involved in cell-cell adhesion,0.00732817,100.0
acetaminophen,AMPLIFICATION,PTGS2,1,BCL6,1,1,4,18030354,"11224600, 11420458, 14685876, 17429099",PTGS2: inhibitor,enzyme binding,0.0052527525,100.0
pomalidomide,AMPLIFICATION,"PTGS2, TNF",2,BCL6,1,5,4,"11926139, 12548461, 16888677, 18030354, 18197435","11224600, 11420458, 14685876, 17429099",PTGS2: inhibitor; TNF: inhibitor,enzyme binding; cytokine activity,0.0,100.0
budesonide,"AMPLIFICATION, SOMATIC",ANXA1,1,"BCL6, REG1A",2,3,5,"16270603, 16627980, 16899607","11224600, 11420458, 12901795, 14685876, 17429099",ANXA1: substrate,cadherin binding involved in cell-cell adhesion,0.0,100.0
sulindac,AMPLIFICATION,PTGS2,1,BCL6,1,1,4,18030354,"11224600, 11420458, 14685876, 17429099",PTGS2: inhibitor,enzyme binding,0.0,100.0
